"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"32294","Shopping Center 3","Licensed Store","Brazil","São Paulo","State of São Paulo","01310-200","Av. Paulista, 2.064, Sao Paulo","[-23.55776,-46.65880]","+55 11 3171 1266",""
"32300","Desembargador Eliseu Guilherme","Licensed Store","Brazil","São Paulo","State of São Paulo","04004-030","Rua Desembargador Eliseu Guilherme, 200, Sao Paulo","[-23.57334,-46.64392]","+55 11 3052 0609",""
"32279","Top Center Shopping","Licensed Store","Brazil","São Paulo","State of São Paulo","01311-100","Avenida Paulista, 854 - LUC 34, Sao Paulo","[-23.56561,-46.65080]","+55 11 3262 4678",""
"32280","Rua Joao Saad","Licensed Store","Brazil","São Paulo","State of São Paulo","05620-070","Avenida Jorge Joao Saad, 900 - loja 09, Sao Paulo","[-23.59390,-46.72117]","+55 11 3507 4182",""
"32284","Parque D. Pedro Shopping","Licensed Store","Brazil","Campinas","State of São Paulo","13087-635","Av. Guilherme Campos, 500, Campinas","[-22.84721,-47.06366]","+55 19 3756 9805",""
"32285","Shopping Analia Franco","Licensed Store","Brazil","São Paulo","State of São Paulo","03342-000","Avenida Regente Feijo, 1739 LUC, Sao Paulo","[-23.56114,-46.56071]","+55 11 2838 6700",""
"32286","Cambui","Licensed Store","Brazil","Campinas","State of São Paulo","13025-002","Rua Coronel Quirino, 1067, Campinas","[-22.89842,-47.05279]","+55 19 3325 7429",""
"32291","Shopping Higienopolis","Licensed Store","Brazil","São Paulo","State of São Paulo","01238-000","Av. Higienopolis, 618, Sao Paulo","[-23.54240,-46.65782]","+55 11 3823 2544",""
"32298","Bourbon Shopping","Licensed Store","Brazil","São Paulo","State of São Paulo","05005-000","Rua Turiassu, 2.100 - SUC 120, Sao Paulo","[-23.52657,-46.68073]","+55 11 3892 5962",""
"69765","Park Shopping Sao Caetano","Licensed Store","Brazil","São Caetano do Sul","State of São Paulo","09531-190","Alameda Terracota 545 Park Shopping, Sao Caetano","[-23.62610,-46.58028]","+55 11 4225 1131",""
"88868","Shopping ABC","Licensed Store","Brazil","Santo André","State of São Paulo","09751-000","Av. Pereira Barreto, 42, Loja 411B, Santo Andre","[-23.66781,-46.53324]","+55 44681643",""
"89069","Mooca Plaza Shopping","Licensed Store","Brazil","São Paulo","State of São Paulo","03126-000","Rua Capitao Pacheco e Chaves, 313, Sao Paulo","[-23.57983,-46.59440]","+55 11 2061 8394",""
"114034","Market Place","Licensed Store","Brazil","Cordeiro","State of São Paulo","04583","Avenida Dr Chucre Zaidan, Sao Paulo","[-23.61645,-46.69671]","",""
"116442","Metro Tatuape","Licensed Store","Brazil","São Paulo","State of São Paulo","03314-030","Rua Domingos Agostim, 91 Loja M-27/M28, Sao Paulo","[-23.54162,-46.57768]","",""
"116443","Sao Bernado Plaza Shopping","Licensed Store","Brazil","São Bernardo do Campo","State of São Paulo","09790-000","Av. Rotary, 624, Piso L1, Sao Bernardo do Campo","[-23.72332,-46.54287]","",""
"1005944","Ribeirao Shop Quiosque Expansa","Licensed Store","Brazil","Ribeirao Preto","State of São Paulo","14026-900","Av. Cel. Fernando Ferreira Leite, 1540, Ribeirao Preto","[-21.21143,-47.81492]","",""
"1005959","Shopping Plaza Sul","Licensed Store","Brazil","São Paulo","State of São Paulo","04151-100","Praca Leonor Kaupa, 100, Terreo, Sao Paulo","[-23.62018,-46.62731]","",""
"1005972","Aero Intl GRU TermII Praca","Licensed Store","Brazil","Guarulhos","State of São Paulo","07190-100","Rod. Helio Smidt, s/n, Terminal 2 - Prac, Guarulhos","[-23.42866,-46.48300]","",""
"1005999","Iguatemi Ribeirao Preto","Licensed Store","Brazil","Ribeirao Preto","State of São Paulo","14026-527","Av. Luiz Eduardo de Toledo Prado, 900, Ribeirao Preto","[-21.22527,-47.83500]","",""
"1007041","Shopping Frei Caneca Kiosk","Licensed Store","Brazil","São Paulo","State of São Paulo","35500-063","Rua Frei Caneca, 569, Sao Paulo","[-23.55406,-46.65257]","",""
"1007036","Universidade Mackenzie","Licensed Store","Brazil","São Paulo","State of São Paulo","01302-000","Rua da Consolacao, 930, Sao Paulo","[-23.54807,-46.65165]","",""
"1032679","Spot Batel","Licensed Store","Brazil","Curitiba","State of Paraná","80420-010","Avenida Vicente Machado 616, Curitiba","[-25.43549,-49.28265]","",""
"1009409","SP Market","Licensed Store","Brazil","São Paulo","State of São Paulo","04696-005","Avenida das Nacoes Unidas, 22.540, Sao Paulo","[-23.67873,-46.69790]","",""
"1009731","Paulista 500","Licensed Store","Brazil","São Paulo","State of São Paulo","01310-000","Avenida Paulista, 500, Sao Paulo","[-23.56791,-46.64810]","",""
