"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"1032555","DG Changping Rainbow Mall  Sto","Company-Operated","China","Dongguan","Guangdong Province","523560","Unit 106, the first floor of Changping T, Dongguan","[22.97255,113.99345]","",""
"1032557","Wenzhou Taishun Xinhong Plaza","Company-Operated","China","Wenzhou","Zhejiang","325500","Unit 1A-01, Room 101, Building 17, Huaho, Wenzhou","[27.54322,119.71908]","",""
"1530","GZ Taojin Road Store","Company-Operated","China","Guangzhou","Guangdong Province","510098","Shop 106, G/F Guangzhou Friendship Store, Guangzhou","[23.13822,113.28764]","+86 20 8350 8891",""
"1539","GZ Teemall Store","Company-Operated","China","Guangzhou","Guangdong Province","510620","Shop 103C, North Gate, G/F, Teemall, 208, Guangzhou","[23.13274,113.32297]","+86 20 8559 0022",""
"1540","SZ Kingglory store","Company-Operated","China","Shenzhen","Guangdong Province","","Shop 106 on in Basement 1,Kingglory Plaz, Shenzhen","[22.53911,114.11956]","+86 755 8261 1183",""
"1537","SZ Sea World store","Company-Operated","China","Shenzhen","Guangdong Province","518060","Shop 113, Nanshan Hotel, Xinghua Road, S, Shenzhen","[22.48352,113.91536]","+86 755 2683 2163",""
"1543","Xi Hu Tain Di","Company-Operated","China","Hangzhou","Zhejiang","310002","No. 147 Nanshan Rd, Hangzhou","[30.24681,120.15997]","+86 571 8702 7990",""
"1561","BJ Airport 2","Company-Operated","China","Beijing","Beijing","100621","International Arrivals Hall, IF of Passe, Beijing","[40.07875,116.59390]","+86 10 6459 2652",""
"1573","Tian Yi Square","Company-Operated","China","Ningbo","Zhejiang","315041","No.188,E.Zhongshan Rd, Ningbo","[29.87046,121.55567]","+86 574 8725 1851",""
"1588","BJ Exchange Walk","Company-Operated","China","Beijing","Beijing","100032","Section F,Financial Center,financial Str, Beijing","[39.91729,116.36152]","+86 10 6622 0355",""
"1589","Ningbo Tianyi Square 2","Company-Operated","China","Ningbo","Zhejiang","315010","No.125,QizhaSt, Ningbo","[29.86846,121.55256]","+86 574 8727 3680",""
"1590","GZ XinYiCheng Store","Company-Operated","China","Guangzhou","Guangdong Province","510240","Shop 1-7,G/F Grandbuy Sunny Mall, 498 Ba, Guangzhou","[23.09380,113.26635]","+86 20 3422 9613",""
"1595","Zhang Jiang Micro Electron Por","Company-Operated","China","Shanghai","Shanghai","201204","No. 690, Bilbo Road, Shanghai","[31.19941,121.58245]","+86 21 5080 7298",""
"1596","CD Yanlord Land Plaza","Company-Operated","China","Chengdu","Sichuan","610020","1st Floor,Yanlord  Land Plaza,xinguanghu, Chengdu","[30.65226,104.06795]","+86 28 8672 1070",""
"1600","GZ Baiful Store","Company-Operated","China","Guangzhou","Guangdong Province","510620","Shop A2, G/F Baifu Plaza, 112 Tiyudong r, Guangzhou","[23.13549,113.32883]","+86 20 3880 5568",""
"1602","GZ Shamian Store","Company-Operated","China","Guangzhou","Guangdong Province","510130","No.50-52 Shamian street, Liwan district,, Guangzhou","[23.10743,113.24399]","+86 20 8121 4080",""
"1603","New Golden Bridge","Company-Operated","China","Shanghai","Shanghai","200001","No.579-591,Xizhang Rd, Shanghai","[31.23737,121.47319]","+86 21 6359 7512",""
"1608","Dingxi Road","Company-Operated","China","Shanghai","Shanghai","200050","Room 102,1/F,No.1328,Dingxi Rd, Shanghai","[31.21678,121.42245]","+86 21 6213 1706",""
"1610","Caohejing Store","Company-Operated","China","Shanghai","Shanghai","201103","No. 1009 Yishan Road, Shanghai","[31.17099,121.40118]","+86 21 6485 0387",""
