"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"1006528","Stockholm Central Station","Licensed Store","Sweden","Stockholm","Stockholm County","111 20","Stockholm Centralstation, Stockholm","[59.32990,18.05878]","","Mo-We 07:00-17:00; Th 07:00-24:00; Fr 00:00-00:00,07:00-24:00; Sa 00:00-00:00; Su closed"
"1009209","Hamngatan","Licensed Store","Sweden","Stockholm","Stockholm County","111 53","Hamngatan 33, Stockholm","[59.33232,18.06835]","","Mo-Fr 07:30-21:00; Sa-Su 09:00-20:00"
"1013240","Mall Of Scandinavia","Licensed Store","Sweden","Solna","Stockholm County","169 79","Stjarntorget 2, Solna","[59.36945,18.00535]","","Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00"
"8947600","Bruxelles midi Channel termina","Licensed Store","Belgium","Sint-Gillis","Brussel","1060","Avenue Fonsny 47B, Bruxelles","[50.83608,4.33545]","",""
"1028278","Brussels South Station","Licensed Store","Belgium","Sint-Gillis","Brussel","1060","Avenue Fonsny Fonsnylaan 47B, Brussels","[50.83517,4.33522]","","Mo-Th 05:30-21:00; Fr-Sa 05:30-22:00; Su 06:00-21:30"
"1027669","Saint Ghislain Zuid (E19/E42/A","Licensed Store","Belgium","Saint-Ghislain","Wallonia","7330","Saint Ghislain Zuid E19 E42 A7, Saint-Ghislain","[50.45173,3.80537]","","Mo-Su 06:30-19:30"
"1027668","Saint Ghislain Noord (E19/E42/","Licensed Store","Belgium","Saint-Ghislain","Wallonia","7330","Saint Ghislain Noord E19/E42/A7, Saint-Ghislain","[50.45251,3.80573]","","Mo-Su 06:30-19:30"
"1021574","Heverle Zuid (E40)","Licensed Store","Belgium","Leuven","Flanders","3001","E40 Brussels, Leuven","[50.85374,4.65996]","","Mo-Fr 08:30-17:30; Sa-Su 08:30-16:30"
"1021573","Heverlee Noord (E40)","Licensed Store","Belgium","Leuven","Flanders","3001","E40 Luik, Leuven","[50.85203,4.65846]","","Mo-Fr 06:30-16:30; Sa-Su 08:30-16:30"
"270","Brussels Airport Depart. Hall","Licensed Store","Belgium","Zaventem","Flanders","1930","Departure Hall, Zaventem","[50.89737,4.48510]","+32 2 719 77 00",""
"1019575","Kruibeke Noord (E-17 Gent)","Licensed Store","Belgium","Beveren-Kruibeke-Zwijndrecht","Vlaanderen","9120","Autoweg E 17 Gent, Beveren","[51.18539,4.29035]","","Mo-Su 06:30-19:30"
"1019576","Kruibeke Zuid (E-17 Antwerp)","Licensed Store","Belgium","Beveren-Kruibeke-Zwijndrecht","Vlaanderen","9150","Autoweg E 17 Antwerp, Kruibeke","[51.18397,4.29007]","","Mo-Su 06:30-19:30"
"1006072","Antwerp Groenplaats","Licensed Store","Belgium","Antwerp","Flanders","2000","Groenplaats 13, Antwerp","[51.21963,4.40109]","","Mo-Fr 09:00-19:00; Sa 08:30-20:00; Su 10:00-19:00"
"68691","Gent Korenmarkt","Licensed Store","Belgium","Ghent","Flanders","9000","Korenmarkt 4, Gent","[51.05439,3.72190]","","Mo-Fr 09:00-18:30; Sa 09:00-19:30; Su 10:30-18:30"
"52056","Brussels (CS)","Licensed Store","Belgium","Brussel","Brussel","1000","Eurpoakruispunt, Brussels","[50.84556,4.35694]","","Mo-Th 05:30-21:00; Fr-Sa 05:30-22:00; Su 06:00-21:00"
"18700","Brussels Airport Concourse B","Licensed Store","Belgium","Zaventem","Flanders","1930","Concourse B, Zaventem","[50.90035,4.48431]","","Mo-Su 04:30-20:00"
"18780","Antwerp Centraal Railway Stati","Licensed Store","Belgium","Antwerp","Flanders","2018","Koningin Astridplein 27, Antwerp","[51.21722,4.42111]","","Mo-Fr 06:00-21:00; Sa 06:30-22:00; Su 06:30-21:00"
"1032849","Groot-Bijgaarden Zuid","Licensed Store","Belgium","Dilbeek","Flanders","1702","Groot Bijgaarden South Dilbeek, Dilbeek","[50.88008,4.25257]","",""
"1028145","Brussels North Station - Grand","Licensed Store","Belgium","Schaarbeek","Brussel","1030","Rue du progrs 76 SNCB North Station, Schaerbeek","[50.86064,4.36009]","","Mo-Fr 06:00-19:30; Sa 07:30-18:30; Su 07:30-17:30"
"1008139","Brussels - Grand Place","Licensed Store","Belgium","Brussel","Brussel","1000","Grand Place de Bruxelles 4, Brussels","[50.84091,4.36389]","","Mo-Th 08:30-20:00; Fr-Sa 08:30-21:00; Su 08:30-20:00"
"1032848","Groot-Bijgaarden Noord","Licensed Store","Belgium","Dilbeek","Flanders","1702","Groot Bijgaarden Noord Dilbeek, Dilbeek","[50.88096,4.25559]","",""
"1022213","Minderhout (E19/A1 Breda)","Licensed Store","Belgium","Hoogstraten","Flanders","2322","Autostrade E19/A1  Breda, Minderhout","[51.42020,4.70680]","","Mo-Su 06:30-19:30"
"1013948","Brussels Airport Concourse A","Licensed Store","Belgium","Zaventem","Flanders","1930","Concourse A, Zaventem","[50.86931,4.48121]","","Mo-Th 04:00-20:00; Fr 04:00-21:00; Sa 04:00-20:00; Su 04:00-21:00"
"1027940","Hasselt Station","Licensed Store","Belgium","Hasselt","Flanders","3500","Stationsplein 2, Hasselt","[50.93101,5.32741]","","Mo-Fr 06:30-19:00; Sa 08:30-19:00; Su 10:00-17:00"
"1050996","BE-CAF-70100-Mons-Station","Licensed Store","Belgium","Mons","Wallonia","7000","Starbucks Place Leopold 7000 Mons, Mons","[50.45381,3.94272]","","Mo-Fr 06:00-19:30; Sa 07:00-20:00; Su 07:00-19:00"
"1023934","Charleroi Airport Landside","Licensed Store","Belgium","Charleroi","Wallonia","6041","Rue des Frres Wright 8, Charleroi","[50.46360,4.46280]","","Mo-Su 04:30-23:00"
"1017347","Brussels - Rogier (M)","Licensed Store","Belgium","Brussel","Brussel","1210","Karel Rogierplein 1, Brussels","[50.85522,4.35832]","","Mo-Fr 06:30-18:30; Sa 07:30-19:30; Su 07:30-18:30"
"1049206","Wijnegem C.C Shop Eat Enjoy","Licensed Store","Belgium","Wijnegem","Vlaanderen","2110","Turnhoutsebaan 5 2110 Wijnegem Belgica, Wijnegem","[51.22243,4.50063]","","Mo-Th 09:00-20:00; Fr 09:00-21:00; Sa 09:00-20:00; Su closed"
