"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"113994","Indiabulls Finance Centre","Joint Venture","India","Mumbai","Maharashtra","400013","First Floor, Tower 2 Lobby, Mumbai","[19.00999,72.83559]","",""
"113991","Hamilton House","Joint Venture","India","New Delhi","New Delhi","110001","Hamilton House, New Delhi","[28.63218,77.21775]","",""
"1005202","Nehru Place","Joint Venture","India","New Delhi","New Delhi","110019","Lower Ground Floor, New Delhi","[28.55114,77.25178]","",""
"1005678","Juhu Bawa","Joint Venture","India","Mumbai","Maharashtra","400049","Ground Floor, Hotel Bawa Continental, Mumbai","[19.10038,72.82759]","",""
"1005757","Viviana Mall","Joint Venture","India","Thane","Maharashtra","400601","Ground Floor, Viviana Mall, Thane West, Mumbai","[19.20845,72.97154]","",""
"1006078","Amanora","Joint Venture","India","Pune","Maharashtra","411028","Ground Floor, West Block, Pune","[18.51814,73.93555]","",""
"1006562","PMC Bangalore Relocation","Joint Venture","India","Bengaluru","Karnataka","560036","Whitefield Main Road, Bengaluru","[12.99685,77.69628]","",""
"1006697","Mahavir Nagar","Joint Venture","India","Mumbai","Maharashtra","400067","Ground Floor, V Souk, Sector 10, Mumbai","[19.21306,72.84238]","",""
"1006687","Church Street","Joint Venture","India","Bengaluru","Karnataka","560001","#55, Ground Floor, Prestige RR Building, Bangalore","[12.97450,77.60731]","",""
"1006696","Brigade Orion","Joint Venture","India","Bengaluru","Karnataka","560055","Shop 416, GF Orion Mall, Brigade Gateway, Bangalore","[13.01118,77.55515]","",""
"1007103","BKC 2 - The Capital","Joint Venture","India","Mumbai","Maharashtra","400051","Ground Floor, The Capital, Mumbai","[19.06079,72.86483]","",""
"1007131","Mantri Mall","Joint Venture","India","Bengaluru","Karnataka","560003","Upper grd flr,Mantri Mall,Mantri Sq No1, Bangalore","[12.99157,77.57097]","",""
"1007127","Phoenix MarketCity Chennai","Joint Venture","India","Chennai","Tamil Nadu","600042","Upper Ground Floor, Phoenix marketcity, Chennai","[12.99169,80.21702]","",""
"1007130","Sadashiv Nagar","Joint Venture","India","Bengaluru","Karnataka","560080","403, Ground Floor, Bangalore","[13.00892,77.58016]","",""
"1007208","Nirlon Knowledge Park","Joint Venture","India","Mumbai","Maharashtra","400063","Grd floor,Block B6,Nirlon Knowledge Pk, Mumbai","[19.15537,72.85376]","",""
"1008457","N Block CP","Joint Venture","India","New Delhi","New Delhi","110001","N 16, N Block, New Delhi","[28.63028,77.22058]","",""
"1009039","Jubilee Hills","Joint Venture","India","Hyderabad","Telangana","500034","Ground Floor, Road No. 92, Hyderabad","[17.41670,78.41707]","",""
"1011732","Godrej One","Joint Venture","India","Mumbai","Maharashtra","400079","Ground Floor, Godrej One Building, Mumbai","[19.09393,72.92304]","",""
"1012310","Bergamo","Joint Venture","India","Chennai","Tamil Nadu","600006","Ground Floor, Bergamo Mall, Chennai","[13.06067,80.25120]","",""
"1013108","Alwarpet","Joint Venture","India","Chennai","Tamil Nadu","600086","Ground Floor, MGN Splendor, Chennai","[13.02929,80.24847]","",""
"1013530","JW Marriot Mall","Joint Venture","India","Mumbai","Maharashtra","400093","Sahar Road, Mumbai","[19.10910,72.85445]","",""
"1013604","Gardens Galleria","Joint Venture","India","Noida","Uttar Pradesh","201303","Ground Floor, Gardens Galleria, Noida","[28.56724,77.32563]","",""
"1014076","Lower Parel - Marathon Futurex","Joint Venture","India","Mumbai","Maharashtra","400013","Upper Ground Floor, Marathon Futurex, Mumbai","[18.99504,72.83123]","",""
"1017119","Alcazar Building","Joint Venture","India","Hyderabad","Telangana","500034","Banjara Hills, Hyderabad","[17.41383,78.43975]","",""
"1017621","Silver Springs Building","Joint Venture","India","Mumbai","Maharashtra","400053","GF Silver Spring BuildingNear Joggers Park, Mumbai","[19.14731,72.82358]","",""
"1017661","Kemps Corner","Joint Venture","India","Mumbai","Maharashtra","400026","1st Floor, Kwality House, Mumbai","[18.96291,72.80538]","",""
"8944900","City Center 2 Mall, Newtown","Joint Venture","India","New Town","West Bengal","700157","New Town Road, Rajarhat","[22.62277,88.44947]","",""
"1020383","Mumbai - Pune Highway","Joint Venture","India","Hyderabad","Telangana","500029","Foodway, Khalapur District, Pune","[17.40205,78.48407]","",""
"1020494","WorldMark Aerocity - New Delhi","Joint Venture","India","New Delhi","New Delhi","110037","Aerocity, New Delhi","[28.54968,77.12113]","",""
"1022050","Atria Mall","Joint Venture","India","Mumbai","Maharashtra","400018","Annie Besant Road, Worli, Mumbai","[18.99095,72.81429]","",""
"1022091","R-Cube Mall","Joint Venture","India","New Delhi","New Delhi","110027","Rajouri Garden, Delhi NCR","[28.65105,77.12126]","",""
"1022090","Vega Mall","Joint Venture","India","Bengaluru","Karnataka","560076","49, Bannerghatta Main Rd, Dollars Colony, Bangalore","[12.90846,77.60152]","",""
"1023485","Elante Mall","Joint Venture","India","Chandigarh","Chandigarh","160002","Chandigarh, Chandigarh","[30.70548,76.80124]","",""
"1024257","Elements One Mall","Joint Venture","India","Gurugram","Haryana","122018","Sector 49, Gurgaon","[28.41988,77.05067]","",""
"1024258","Shivaji Stadium","Joint Venture","India","New Delhi","New Delhi","110001","Baba Kharak Singh Rd, Hanuman Road Area, New Delhi","[28.62881,77.21141]","",""
"1024364","Lodha Xperia","Joint Venture","India","Thane","Maharashtra","421204","Kalyan - Shilphata Road, Mumbai","[19.16574,73.07534]","",""
"1055419","Moga Highway","Joint Venture","India","Moga","Punjab","142001","NH-5, Moga","[30.81937,75.21284]","",""
"1033115","Guwahati Airport Departure","Joint Venture","India","Guwahati","Assam","781015","Airport Road, Guwahati","[26.10598,91.58653]","",""
"1025232","Kanakia Wall Street","Joint Venture","India","Mumbai","Maharashtra","400093","Chakala, Andheri - Kurla Rd, Mumbai","[19.11383,72.86360]","",""
"1025309","South Extension II","Joint Venture","India","New Delhi","New Delhi","110003","South Extension Part II, New Delhi, New Delhi","[28.56815,77.22027]","",""
"1009843","Link Corner","Joint Venture","India","Mumbai","Maharashtra","400052","Off Linking Road, Mumbai","[19.06553,72.83317]","",""
"1020447","Ardee Mall","Joint Venture","India","Gurugram","Haryana","122003","Ardee City, Gurgaon, Gurugram","[28.44189,77.07840]","",""
"1023005","Golf Course Road","Joint Venture","India","Gurugram","Haryana","122011","Gurugram, Gurugram","[28.44839,77.09994]","",""
"1024892","Goldman Sachs","Joint Venture","India","Bengaluru","Karnataka","560103","Chandana, Bangalore","[12.93696,77.68909]","",""
"1025688","Ahmedabad One Mall","Joint Venture","India","Ahmedabad","Gujarat","380054","Near Vastrapur Lake, Vastrapur, Ahmedabad","[23.04022,72.53135]","",""
"1025917","Uniza Bodakdev","Joint Venture","India","Ahmedabad","Gujarat","380015","17, Premchand Nagar Rd, Ahmedabad","[23.03199,72.51077]","",""
"1025916","Prahlad Nagar","Joint Venture","India","Ahmedabad","Gujarat","380015","100 Feet Anand Nagar Rd, Ahmedabad","[23.01154,72.51059]","",""
"1026081","VR Punjab","Joint Venture","India","Mohali","Punjab","140307","NH-21, Mohali Kharar Road, Mohali","[30.73765,76.67849]","",""
"1030622","Race Course Road Kalpataru","Joint Venture","India","Indore","Madhya Pradesh","452003","27 Yashwant Niwas Road, Indore","[22.72513,75.87469]","",""
"1032183","GS Road","Joint Venture","India","Guwahati","Assam","781005","GS Road, Guwahati","[26.15770,91.77607]","",""
"1033828","Unison Mall","Joint Venture","India","Dehradun","Uttarakhand","248001","90 New Cantt Road, Dehradun","[30.34326,78.04843]","",""
"1026882","Knowledge City","Joint Venture","India","Hyderabad","Telangana","500032","Vittal Rao Nagar, Madhapur, Hyderabad","[17.43261,78.38173]","",""
"8515200","City Center Mall Patna","Joint Venture","India","Patna","Bihar","800001","SRK's Ramchandra Enclave, Patna","[25.61863,85.13359]","",""
"1027273","Center Square Mall","Joint Venture","India","Vadodara","Gujarat","390023","Sayaji Path, Shubangpura, Vadodra","[22.31823,73.16952]","",""
"1027274","World Trade Centre - Pune","Joint Venture","India","Pune","Maharashtra","411014","Kharadi, MIDC, Knowledge Park, Pune","[18.55325,73.94843]","",""
"1027577","Sector 7, Chandigarh","Joint Venture","India","Chandigarh","Chandigarh","160019","Sector 7, Chandigarh, 160019, Chandigarh","[30.72956,76.80137]","",""
"1028096","ECR Chennai","Joint Venture","India","Chennai","Tamil Nadu","600041","Palavakkam, East Coast Road, Chennai","[12.95909,80.25542]","",""
"1028437","SJR Central","Joint Venture","India","Bengaluru","Karnataka","560076","SJR Spectrum, Bannerghatta Main Rd, Bengaluru","[12.89159,77.59797]","",""
"1028447","Lulu Mall Kochi","Joint Venture","India","Kochi","Kerala","682024","34/1000, Old NH 47 Nethaji Nagar, Kochi","[10.02716,76.30815]","",""
